UTC,Latitude,Longitude,Altitude,SOG (knots),COG (deg),IMU Heading (avg),Apparent Wind Speed (knots),Apparent Wind Angle (deg),AWS X-Component,AWS Y-Component,True Wind Speed (knots),True Wind Direction (deg),Speed Through Water (knots),STW X-Component,STW Y-Component,Current Speed (knots),Current Direction (deg),Current X-Component,Current Y-Component,Errors
,49.277931,-123.285869,-17989,4.40,211.13,54.21,0.00,0.00,0.00,0.00,4.54,25.68,0.00,0.00,0.00,4.54,205.68,-1.97,-4.09,None
,49.271950,-123.289222,-20263,4.54,185.90,71.00,0.00,0.00,0.00,0.00,5.28,8.46,0.00,0.00,0.00,5.28,188.46,-0.78,-5.22,None
,49.265213,-123.289732,-28125,2.74,191.70,69.26,0.00,0.00,0.00,0.00,4.66,22.19,0.00,0.00,0.00,4.66,202.19,-1.76,-4.32,None
,49.258582,-123.290600,-19687,4.66,189.64,75.95,0.00,0.00,0.00,0.00,4.75,8.41,0.00,0.00,0.00,4.75,188.41,-0.69,-4.69,None
,49.251918,-123.292335,-16775,4.82,201.22,168.24,0.00,0.00,0.00,0.00,4.82,21.22,0.00,0.00,0.00,4.82,201.22,-1.74,-4.49,None
,49.244999,-123.293063,-31239,5.84,175.68,79.60,0.00,0.00,0.00,0.00,5.44,1.49,0.00,0.00,0.00,5.44,181.49,-0.14,-5.44,None
,49.237684,-123.293042,-23927,6.46,174.85,78.38,0.00,0.00,0.00,0.00,5.45,356.15,0.00,0.00,0.00,5.45,176.15,0.37,-5.44,None
03:,49.230249,-123.293037,-28544,6.22,176.73,79.19,0.00,0.00,0.00,0.00,4.95,359.86,0.00,0.00,0.00,4.95,179.86,0.01,-4.95,None
08:,49.222966,-123.292510,2303,4.93,177.77,185.52,0.00,0.00,0.00,0.00,4.93,357.77,0.00,0.00,0.00,4.93,177.77,0.19,-4.93,None
,49.215295,-123.292493,-16425,5.06,189.36,69.71,0.00,0.00,0.00,0.00,4.77,6.41,0.00,0.00,0.00,4.77,186.41,-0.53,-4.74,None
,49.208885,-123.294847,7642,5.49,183.69,177.08,0.00,0.00,0.00,0.00,5.49,3.69,0.00,0.00,0.00,5.49,183.69,-0.35,-5.48,None
,49.201209,-123.295168,-8611,6.14,174.15,77.48,0.00,0.00,0.00,0.00,5.45,357.74,0.00,0.00,0.00,5.45,177.74,0.21,-5.44,None
,49.193552,-123.295368,-12333,5.44,189.61,68.45,0.00,0.00,0.00,0.00,5.52,6.36,0.00,0.00,0.00,5.52,186.36,-0.61,-5.48,None
,49.186259,-123.297295,-18079,5.72,191.93,69.95,0.00,0.00,0.00,0.00,5.02,0.63,0.00,0.00,0.00,5.02,180.63,-0.06,-5.02,None
,49.178678,-123.299199,-19055,5.44,187.33,64.91,0.00,0.00,0.00,0.00,5.68,10.62,0.00,0.00,0.00,5.68,190.62,-1.05,-5.58,None
,49.170947,-123.301252,-19781,6.18,182.51,69.42,0.00,0.00,0.00,0.00,5.81,7.87,0.00,0.00,0.00,5.81,187.87,-0.80,-5.76,None
,49.163109,-123.302414,-17170,6.00,173.07,73.67,0.00,0.00,0.00,0.00,5.77,359.83,0.00,0.00,0.00,5.77,179.83,0.02,-5.77,None
,49.155239,-123.302898,-23003,5.22,186.72,61.16,0.00,0.00,0.00,0.00,5.57,6.49,0.00,0.00,0.00,5.57,186.49,-0.63,-5.54,None
,49.147196,-123.304555,-23579,6.36,184.72,65.09,0.00,0.00,0.00,0.00,6.07,4.61,0.00,0.00,0.00,6.07,184.61,-0.49,-6.05,None
03:,49.139123,-123.306897,-17590,6.10,192.08,62.94,0.00,0.00,0.00,0.00,5.83,13.44,0.00,0.00,0.00,5.83,193.44,-1.35,-5.67,None
08:,49.130995,-123.308690,-23228,5.94,190.37,64.06,0.00,0.00,0.00,0.00,5.97,3.79,0.00,0.00,0.00,5.97,183.79,-0.39,-5.96,None
,49.123180,-123.311033,-13394,5.77,187.87,67.81,0.00,0.00,0.00,0.00,5.82,8.46,0.00,0.00,0.00,5.82,188.46,-0.86,-5.76,None
,49.114880,-123.311175,-17042,6.41,180.00,76.07,0.00,0.00,0.00,0.00,5.88,2.00,0.00,0.00,0.00,5.88,182.00,-0.21,-5.88,None
00,49.106798,-123.312296,-17647,5.83,187.27,184.05,0.00,0.00,0.00,0.00,5.83,7.27,0.00,0.00,0.00,5.83,187.27,-0.74,-5.78,None
01,49.098784,-123.314484,-14469,6.56,200.32,70.99,0.00,0.00,0.00,0.00,6.45,16.58,0.00,0.00,0.00,6.45,196.58,-1.84,-6.18,None
02,49.090020,-123.317400,-18784,6.42,195.32,74.52,0.00,0.00,0.00,0.00,6.95,14.63,0.00,0.00,0.00,6.95,194.63,-1.75,-6.72,None
03,49.081513,-123.317462,-16451,5.79,175.48,91.65,0.00,0.00,0.00,0.00,5.91,350.72,0.00,0.00,0.00,5.91,170.72,0.95,-5.83,None
03,49.072791,-123.317158,-26459,6.70,176.88,193.20,0.00,0.00,0.00,0.00,6.70,356.88,0.00,0.00,0.00,6.70,176.88,0.37,-6.69,None
05,49.063825,-123.317199,-17777,6.47,177.54,86.88,0.00,0.00,0.00,0.00,6.46,358.80,0.00,0.00,0.00,6.46,178.80,0.14,-6.46,None
06,49.055421,-123.315570,-23130,5.74,181.64,83.19,0.00,0.00,0.00,0.00,6.08,0.73,0.00,0.00,0.00,6.08,180.73,-0.08,-6.08,None
07,49.047232,-123.315182,-17411,5.75,169.88,196.24,0.00,0.00,0.00,0.00,5.75,349.88,0.00,0.00,0.00,5.75,169.88,1.01,-5.66,None
04:08,49.039821,-123.314075,-16790,6.09,190.67,77.31,0.00,0.00,0.00,0.00,5.13,9.52,0.00,0.00,0.00,5.13,189.52,-0.85,-5.06,None
09:08,49.032446,-123.314164,-18048,5.16,173.21,82.85,0.00,0.00,0.00,0.00,5.67,354.88,0.00,0.00,0.00,5.67,174.88,0.51,-5.64,None
08,49.025251,-123.314563,-15522,5.31,184.06,72.65,0.00,0.00,0.00,0.00,4.97,4.06,0.00,0.00,0.00,4.97,184.06,-0.35,-4.96,None
09,49.018160,-123.314095,-20198,5.50,173.13,88.38,0.00,0.00,0.00,0.00,5.15,354.18,0.00,0.00,0.00,5.15,174.18,0.52,-5.12,None
,49.011207,-123.313706,-23079,5.23,193.63,73.86,0.00,0.00,0.00,0.00,5.06,3.76,0.00,0.00,0.00,5.06,183.76,-0.33,-5.05,None
,49.004005,-123.312537,-21192,5.82,166.40,199.96,0.00,0.00,0.00,0.00,5.82,346.40,0.00,0.00,0.00,5.82,166.40,1.37,-5.66,None
,48.996465,-123.310851,-16382,5.60,176.58,82.53,0.00,0.00,0.00,0.00,5.58,358.36,0.00,0.00,0.00,5.58,178.36,0.16,-5.58,None
,48.988654,-123.309661,-17349,5.04,173.07,86.07,0.00,0.00,0.00,0.00,5.55,350.63,0.00,0.00,0.00,5.55,170.63,0.90,-5.47,None
,48.980483,-123.309365,-18827,8.34,169.39,83.71,0.00,0.00,0.00,0.00,5.89,3.05,0.00,0.00,0.00,5.89,183.05,-0.31,-5.88,None
,48.972080,-123.309580,-24745,7.94,188.83,81.91,0.00,0.00,0.00,0.00,5.96,1.54,0.00,0.00,0.00,5.96,181.54,-0.16,-5.96,None
,48.964028,-123.309308,-9363,5.75,177.21,80.38,0.00,0.00,0.00,0.00,5.93,356.03,0.00,0.00,0.00,5.93,176.03,0.41,-5.91,None
,48.956312,-123.309206,-9524,3.49,173.71,79.44,0.00,0.00,0.00,0.00,5.80,348.48,0.00,0.00,0.00,5.80,168.48,1.16,-5.69,None
04:,48.948531,-123.307880,-20679,6.25,177.99,82.94,0.00,0.00,0.00,0.00,5.71,349.11,0.00,0.00,0.00,5.71,169.11,1.08,-5.61,None
09:,48.940472,-123.306093,-14462,4.73,175.27,86.08,0.00,0.00,0.00,0.00,5.77,340.50,0.00,0.00,0.00,5.77,160.50,1.93,-5.44,None
,48.932578,-123.304490,-44894,5.41,189.18,83.08,0.00,0.00,0.00,0.00,4.77,356.81,0.00,0.00,0.00,4.77,176.81,0.27,-4.76,None
,48.924177,-123.302011,-22363,8.41,167.55,86.60,0.00,0.00,0.00,0.00,5.51,349.74,0.00,0.00,0.00,5.51,169.74,0.98,-5.42,None
,48.916581,-123.298522,-11049,3.11,166.53,72.48,0.00,0.00,0.00,0.00,4.45,351.18,0.00,0.00,0.00,4.45,171.18,0.68,-4.40,None
,48.910910,-123.298106,-19711,3.44,179.57,174.72,0.00,0.00,0.00,0.00,3.44,359.57,0.00,0.00,0.00,3.44,179.57,0.03,-3.44,None
,48.903050,-123.298292,-28106,5.55,172.41,66.53,0.00,0.00,0.00,0.00,5.54,357.86,0.00,0.00,0.00,5.54,177.86,0.21,-5.53,None
,48.894181,-123.298584,-26375,7.44,183.83,70.55,0.00,0.00,0.00,0.00,6.35,2.48,0.00,0.00,0.00,6.35,182.48,-0.27,-6.35,None
,48.885638,-123.301775,-21724,5.90,202.13,55.27,0.00,0.00,0.00,0.00,6.52,21.20,0.00,0.00,0.00,6.52,201.20,-2.36,-6.08,None
,48.877253,-123.305522,-11959,6.29,184.81,177.26,0.00,0.00,0.00,0.00,6.29,4.81,0.00,0.00,0.00,6.29,184.81,-0.53,-6.27,None
,48.867851,-123.309263,-34011,5.58,206.81,69.15,0.00,0.00,0.00,0.00,7.79,17.71,0.00,0.00,0.00,7.79,197.71,-2.37,-7.42,None
,48.860099,-123.315510,-26146,6.57,257.99,356.94,0.00,0.00,0.00,0.00,6.73,79.50,0.00,0.00,0.00,6.73,259.50,-6.62,-1.23,None
00:04:,48.860851,-123.330378,-23411,7.51,293.64,345.15,0.00,0.00,0.00,0.00,10.12,106.90,0.00,0.00,0.00,10.12,286.90,-9.68,2.94,None
00:09:,48.861999,-123.345374,-23560,7.73,239.71,36.75,0.00,0.00,0.00,0.00,8.19,60.54,0.00,0.00,0.00,8.19,240.54,-7.13,-4.03,None
00:,48.853472,-123.353834,-27660,7.36,212.15,57.75,0.00,0.00,0.00,0.00,7.91,23.11,0.00,0.00,0.00,7.91,203.11,-3.11,-7.28,None
00:,48.846755,-123.363242,-41798,7.86,227.56,37.69,0.00,0.00,0.00,0.00,7.05,53.52,0.00,0.00,0.00,7.05,233.52,-5.67,-4.19,None
00:,48.841703,-123.354401,-12434,5.86,125.04,237.52,0.00,0.00,0.00,0.00,5.86,305.04,0.00,0.00,0.00,5.86,125.04,4.80,-3.36,None
00:,48.836088,-123.346615,-11016,7.09,141.18,117.39,0.00,0.00,0.00,0.00,6.03,317.09,0.00,0.00,0.00,6.03,137.09,4.10,-4.41,None
